mu,Results/distance_n_list
-1.5,0.03144485634767921
-1.4375,0.035136126031832665
-1.375,0.03917719160114567
-1.3125,0.04347792817112428
-1.25,0.04809182485299683
-1.1875,0.053040726417393436
-1.125,0.05829170299263261
-1.0625,0.0642633690057377
-1.0,0.07044528008937748
-0.9375,0.07560329991012059
-0.875,0.0799745943742197
-0.8125,0.08392758528448496
-0.75,0.0869119208770301
-0.6875,0.08931843235665189
-0.625,0.09043835328689828
-0.5625,0.08943773621300717
-0.5,0.08221274381210683
-0.4375,0.060541063923043724
-0.375,0.03311116362315335
-0.3125,0.015030552771694248
-0.25,0.013195274324820596
-0.1875,0.01788942722305431
-0.125,0.03739105972726588
-0.0625,0.07503524720590295
0.0,0.09807880842107505
0.0625,0.11923711185775186
0.125,0.1403110948431181
0.1875,0.14409951765035148
0.25,0.14425341823491808
0.3125,0.14426251320071326
0.375,0.14426332775529702
0.4375,0.14426343645279904
0.5,0.1442634573595757
0.5625,0.14426346276464683
0.625,0.14426346450699257
0.6875,0.14426346516605776
0.75,0.14426346544661153
0.8125,0.14426346557724748
0.875,0.14426346564244838
0.9375,0.14426346567684392
1.0,0.14426346569586038
